fsq_id,categories,closed_bucket,distance,location,name,latitude,longitude
55cbe079498e206cdf9f4c97,Indian Restaurant,VeryLikelyOpen,569,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Descendant Detroit Style Pizza,43.67205,-79.322451
54302333498ed6ec0533ab40,Bar,VeryLikelyOpen,484,"1471 Gerrard St E, Toronto ON M4L 2A1",Maha's Fine Egyptian Cuisine,43.672346,-79.320804
56fda2c9498e22d2e5ae4da0,Burger Joint,VeryLikelyOpen,655,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",Pinkerton's Snack Bar,43.666763,-79.315564
53af0086498eb15122135e6a,Diner,VeryLikelyOpen,660,"1483 Queen St E, Toronto ON M4L 1E2",Completo,43.665121,-79.321347
5cb8888dc0cacb002cf98062,Egyptian Restaurant,VeryLikelyOpen,456,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Le Conciliabule,43.671682,-79.328462
4cd7538f886cb60c8cc08e89,Café,VeryLikelyOpen,727,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Bobbette & Belle,43.66388,-79.326107
4ae0c7a8f964a520638221e3,Pizzeria,VeryLikelyOpen,757,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Udupi Palace,43.666623,-79.316861
4ec03c1329c25ce5a22fca40,Ice Cream Parlor,VeryLikelyOpen,771,"1698 Queen St W, Scarborough ON M6R 1B3",Ascari Enoteca,43.667418,-79.312824
4ad4c060f964a5207bf720e3,Bistro,VeryLikelyOpen,461,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Gio Rana's Really Really Nice Restaurant,43.671324,-79.32719
4ada456ff964a520c22021e3,Fish and Chips Shop,VeryLikelyOpen,716,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",Hanoi 3 Seasons,43.668614,-79.317268
56fda2c9498e22d2e5ae4da0,Indian Restaurant,VeryLikelyOpen,402,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Pinkerton's Snack Bar,43.67205,-79.322451
5240e04fbce607d489eb95d9,Bar,VeryLikelyOpen,640,"1471 Gerrard St E, Toronto ON M4L 2A1",The Real Jerk Restaurant,43.672346,-79.320804
4b5f3113f964a5203fac29e3,Burger Joint,VeryLikelyOpen,702,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",Riverdale Perk,43.666763,-79.315564
54302333498ed6ec0533ab40,Diner,VeryLikelyOpen,792,"1483 Queen St E, Toronto ON M4L 1E2",Maha's Fine Egyptian Cuisine,43.665121,-79.321347
5a8864b4cbcdee114e72b954,Egyptian Restaurant,VeryLikelyOpen,394,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Dineen Outpost,43.671682,-79.328462
4b1002f6f964a5206f6723e3,Café,LikelyOpen,518,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Pizza Pide,43.66388,-79.326107
5b09e809a6031c002cdd9c37,Pizzeria,VeryLikelyOpen,792,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Wynona,43.666623,-79.316861
502826ffe4b039d48c722f78,Ice Cream Parlor,VeryLikelyOpen,862,"1698 Queen St W, Scarborough ON M6R 1B3",Athens Restaurant,43.667418,-79.312824
4aeb26cff964a52009bf21e3,Bistro,VeryLikelyOpen,884,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",The Only Cafe,43.671324,-79.32719
